Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABRIDGING,210,408,1.65E-08,6.45E-09,6.54E-07,295,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGMENT,211,507,2.05E-08,1.24E-08,1.32E-06,384,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGMENTS,212,64,2.59E-09,1.55E-09,3.23E-07,47,0,0,0,0,0,0,0,0,3,12of12inf
ABROAD,213,204042,8.26E-06,6.04E-06,2.89E-05,106091,0,0,0,0,0,0,0,0,2,12of12inf
ABROGATE,214,6740,2.73E-07,1.40E-07,3.96E-06,4162,2009,0,0,2009,0,0,0,0,3,12of12inf
ABROGATED,215,2125,8.61E-08,5.39E-08,2.74E-06,1463,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATES,216,414,1.68E-08,1.04E-08,1.17E-06,271,2009,0,0,2009,0,0,0,0,3,12of12inf
ABROGATING,217,482,1.95E-08,1.25E-08,8.80E-07,428,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATION,218,1865,7.55E-08,4.34E-08,2.19E-06,1357,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATIONS,219,2,8.10E-11,6.11E-12,6.69E-09,1,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATOR,220,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABROGATORS,221,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABRUPT,222,7307,2.96E-07,3.11E-07,7.20E-06,6024,2009,0,0,0,0,0,0,0,2,12of12inf
ABRUPTER,223,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABRUPTEST,224,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABRUPTLY,225,3280,1.33E-07,1.44E-07,4.81E-06,2739,2009,0,0,0,0,0,0,0,3,12of12inf
ABRUPTNESS,226,9,3.64E-10,4.12E-10,1.85E-07,9,2009,0,0,0,0,0,0,0,3,12of12inf
ABRUPTNESSES,227,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABS,228,249233,1.01E-05,8.86E-06,0.00014987,19352,0,0,0,0,0,0,0,0,1,12of12inf
ABSCESS,229,471,1.91E-08,1.30E-08,1.62E-06,269,0,0,0,0,0,0,0,0,2,12of12inf
ABSCESSED,230,2,8.10E-11,1.94E-10,1.82E-07,2,0,0,0,0,0,0,0,0,2,12of12inf
ABSCESSES,231,298,1.21E-08,6.50E-09,6.13E-07,228,0,0,0,0,0,0,0,0,3,12of12inf
ABSCESSING,232,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSA,233,9,3.64E-10,2.93E-10,1.29E-07,8,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSAE,234,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSAS,235,1,4.05E-11,4.00E-11,4.38E-08,1,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSION,236,4,1.62E-10,7.28E-11,4.33E-08,4,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSIONS,237,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCOND,238,27,1.09E-09,3.70E-10,1.09E-07,27,0,0,0,0,0,0,0,0,2,12of12inf
ABSCONDED,239,105,4.25E-09,9.82E-09,1.93E-06,60,0,0,0,0,0,0,0,0,3,12of12inf
ABSCONDER,240,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCONDERS,241,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCONDING,242,71,2.88E-09,2.81E-09,5.58E-07,53,0,0,0,0,0,0,0,0,3,12of12inf
ABSCONDS,243,1,4.05E-11,2.95E-11,3.23E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABSEIL,244,1,4.05E-11,3.83E-11,4.19E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABSEILED,245,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
