doc_id,n_parrafos,topic_dominante,topic_dominante_share,outlier_share
E112_HEI_2023,311,153,0.1576,0.3119
E112_HEI_2024,1158,153,0.0976,0.3377
E113_ACS_2022,100,0,0.05,0.54
E113_ACS_2023,164,44,0.0366,0.6341
E113_ACS_2024,84,98,0.0476,0.5119
E114_SGO_2022,221,95,0.4253,0.3575
E114_SGO_2023,519,95,0.2197,0.4066
E114_SGO_2024,1044,95,0.1676,0.3966
E115_FER_2022,80,4,0.0375,0.625
E115_FER_2023,10,11,0.3,0.6
E115_FER_2024,121,16,0.0496,0.5537
E116_WIE_2022,964,71,0.3029,0.2832
E116_WIE_2023,135,71,0.4815,0.363
E116_WIE_2024,706,71,0.1813,0.3074
E117_BEI_2022,358,8,0.0447,0.405
E117_BEI_2023,685,159,0.0584,0.3693
E117_BEI_2024,1043,108,0.0489,0.3787
E118_MONC_2022,48,29,0.0833,0.4583
E118_MONC_2023,30,37,0.1,0.4333
E118_MONC_2024,6,106,0.6667,0.1667
E119_HLI_2022,276,20,0.0326,0.5399
E119_HLI_2023,202,0,0.099,0.4307
E119_HLI_2024,438,159,0.0662,0.5068
E120_PUM_2022,275,210,0.1055,0.4727
E120_PUM_2023,29,210,0.2069,0.4483
E120_PUM_2024,623,210,0.2167,0.3756
E121_GAW_2022,47,0,0.1915,0.5532
E121_GAW_2023,84,0,0.2381,0.5119
E121_GAW_2024,81,0,0.1975,0.5185
E122_SHEL_2022,707,190,0.1584,0.5375
E122_SHEL_2023,611,190,0.1146,0.5696
E122_SHEL_2024,49,105,0.2041,0.6122
E123_ENI_2022,41,53,0.0976,0.7317
E123_ENI_2023,32,91,0.0625,0.7812
E123_ENI_2024,53,1,0.1887,0.5849
E124_GALP_2022,350,157,0.2171,0.3829
E124_GALP_2023,356,157,0.1826,0.4298
E124_GALP_2024,476,157,0.1828,0.334
E125_ENX_2022,385,50,0.4208,0.2987
E125_ENX_2023,399,50,0.4762,0.2957
E125_ENX_2024,538,50,0.4535,0.2602
E126_IGGI_2022,76,8,0.0658,0.4079
E126_IGGI_2023,87,5,0.0805,0.4713
E126_IGGI_2024,44,0,0.1364,0.4773
E127_FLOW_2022,25,565,0.36,0.52
E127_FLOW_2023,136,565,0.2279,0.2868
E127_FLOW_2024,110,8,0.1182,0.3545
E128_NESN_2022,3,104,0.3333,0.6667
E128_NESN_2023,21,217,0.2857,0.381
E128_NESN_2024,26,217,0.1538,0.4231
E129_RCO_2022,307,459,0.0912,0.4104
E129_RCO_2023,159,97,0.1572,0.3899
E129_RCO_2024,175,97,0.1429,0.4229
E130_CCH_2022,10,31,0.1,0.5
E130_CCH_2023,334,20,0.1078,0.4731
E130_CCH_2024,1430,20,0.0706,0.4126
E131_TEV_2022,47,132,0.4468,0.2766
E131_TEV_2023,23,21,0.0435,0.9565
E131_TEV_2024,18,30,0.2222,0.2778
E132_ESLX_2022,265,559,0.1434,0.2906
E132_ESLX_2023,314,390,0.1433,0.3376
E132_ESLX_2024,429,94,0.8112,0.1212
E133_SNY_2022,117,1,0.2222,0.453
E133_SNY_2023,65,1,0.2615,0.4154
E133_SNY_2024,68,1,0.2794,0.3971
E134_NOV N_2022,15,1,0.5333,0.4
E134_NOV N_2023,17,1,0.4118,0.4706
E134_NOV N_2024,33,241,0.1515,0.4242
E135_FME_2022,1665,6,0.4066,0.2613
E135_FME_2023,1371,6,0.3246,0.2706
E135_FME_2024,1268,6,0.1806,0.3399
E136_SAND_2022,53,296,0.0755,0.4151
E136_SAND_2023,74,2,0.1216,0.3243
E136_SAND_2024,134,2,0.0746,0.3284
E137_KNEBV_2022,15,289,0.4,0.4
E137_KNEBV_2023,43,289,0.3721,0.3721
E137_KNEBV_2024,474,193,0.3882,0.1983
E138_SMIN_2022,234,0,0.0812,0.4872
E138_SMIN_2023,271,0,0.0664,0.4871
E138_SMIN_2024,136,0,0.2132,0.3971
E139_VOLV B_2022,390,103,0.3692,0.2667
E139_VOLV B_2023,378,103,0.373,0.2963
E139_VOLV B_2024,97,103,0.5979,0.3093
E140_PRY_2022,1232,186,0.0381,0.4351
E140_PRY_2023,1700,186,0.0753,0.4241
E140_PRY_2024,231,341,0.0952,0.4502
E141_PRU_2022,476,0,0.0357,0.5693
E141_PRU_2023,442,0,0.0928,0.4434
E141_PRU_2024,413,0,0.0944,0.4697
E142_PST_2022,2322,39,0.2804,0.3889
E142_PST_2023,182,508,0.0604,0.5604
E142_PST_2024,491,39,0.0957,0.4562
E143_SCR_2022,356,88,0.2781,0.3511
E143_SCR_2023,338,88,0.2929,0.3432
E143_SCR_2024,882,88,0.229,0.3333
E144_SRENH_2022,27,465,0.1111,0.7037
E144_SRENH_2023,22,465,0.1364,0.7273
E144_SRENH_2024,245,539,0.1959,0.5796
E145_LGEN_2022,294,1,0.2687,0.4694
E145_LGEN_2023,167,411,0.0419,0.503
E145_LGEN_2024,168,0,0.0774,0.506
E146_REL_2022,301,557,0.0797,0.4252
E146_REL_2023,280,557,0.0929,0.4393
E146_REL_2024,140,34,0.0214,0.55
E147_SRB_2022,37,254,0.1351,0.3784
E147_SRB_2023,976,254,0.0881,0.4273
E147_SRB_2024,920,254,0.0413,0.4489
E148_INF_2022,19,9,0.2105,0.3158
E148_INF_2023,16,106,0.125,0.5625
E148_INF_2024,14,14,0.1429,0.4286
E149_IPX_2022,235,56,0.4596,0.2894
E149_IPX_2023,464,56,0.4138,0.2802
E149_IPX_2024,826,56,0.3281,0.3414
E150_SANO_2022,55,67,0.5636,0.2182
E150_SANO_2023,192,67,0.4688,0.2865
E150_SANO_2024,756,67,0.5093,0.1706
E151_SBRY_2022,364,91,0.044,0.5
E151_SBRY_2023,66,0,0.0909,0.3182
E151_SBRY_2024,350,546,0.1171,0.4971
E152_RKT_2022,211,3,0.0379,0.5261
E152_RKT_2023,127,3,0.063,0.5197
E152_RKT_2024,194,159,0.0515,0.5206
E153_WDP_2022,103,57,0.0485,0.6505
E153_WDP_2023,24,187,0.1667,0.5417
E153_WDP_2024,300,57,0.0267,0.6333
E154_URW_2022,127,156,0.1654,0.5276
E154_URW_2023,211,156,0.2133,0.4645
E154_URW_2024,1472,156,0.1039,0.4735
E155_VNA_2022,787,79,0.2503,0.4498
E155_VNA_2023,754,79,0.2546,0.4377
E155_VNA_2024,196,79,0.1684,0.3724
E156_TSCO_2022,82,0,0.0732,0.5732
E156_TSCO_2023,226,195,0.0398,0.5575
E156_TSCO_2024,127,0,0.0866,0.5591
E157_ITX_2022,231,17,0.039,0.5498
E157_ITX_2023,532,0,0.0752,0.4812
E157_ITX_2024,8,206,0.125,0.625
E158_JMT_2022,358,556,0.0615,0.3408
E158_JMT_2023,344,577,0.0988,0.3314
E158_JMT_2024,442,20,0.0701,0.4186
E159_ZAL_2022,131,20,0.0687,0.5115
E159_ZAL_2023,146,20,0.089,0.4384
E159_ZAL_2024,392,3,0.0714,0.4796
E160_CARR_2022,1322,89,0.1483,0.4009
E160_CARR_2023,254,89,0.1378,0.4882
E160_CARR_2024,1270,89,0.0827,0.4283
E161_LOGN_2022,25,480,0.12,0.32
E161_LOGN_2023,16,480,0.4375,0.125
E161_LOGN_2024,274,480,0.1934,0.4708
E162_AIXA_2022,5,1,0.2,0.6
E162_AIXA_2023,45,1,0.4222,0.4222
E162_AIXA_2024,439,1,0.0251,0.5672
E163_IFX_2022,64,106,0.0469,0.75
E163_IFX_2023,62,125,0.0484,0.7419
E163_IFX_2024,30,125,0.1,0.7667
