id_empresa,empresa,ticker,pais,año,tipo_informe,url_fuente,fecha_descarga,n_paginas,idioma,estado,notas
E031,London Stock Exchange Group,LSEG,United Kingdom,2024,integrated,https://www.lseg.com/content/dam/lseg/en_us/documents/investor-relations/annual-reports/lseg-annual-report-2024.pdf,2026-05-26,47.0,,descargado,URL incorrecta (subsidiaria financiera) — buscar LSEG Group plc annual report
E032,Allfunds Group,ALLFG,Spain,2022,integrated,https://app.allfunds.com/docs/cms/Allfunds_2022_Annual_Report_2d8223ebf7.pdf,2026-05-27,113.0,,descargado,no encontrado automáticamente
E032,Allfunds Group,ALLFG,Spain,2023,integrated,https://app.allfunds.com/docs/cms/REDUX_ANNUAL_REPORT_1cbf35d7ea.pdf,2026-05-29,224.0,en,descargado,descargado manualmente desde allfunds.com IR
E032,Allfunds Group,ALLFG,Spain,2024,integrated,https://app.allfunds.com/docs/cms/Allfunds_Annual_Report_2024_97e1d5de05.pdf,2026-05-27,198.0,,descargado,no encontrado automáticamente
E033,Wendel,WEND,France,2022,integrated,https://www.wendelgroup.com/wp-content/uploads/2023/04/WENDEL_URD2022_FR.pdf,2026-05-27,50.0,,descargado,no encontrado automáticamente
E033,Wendel,WEND,France,2023,integrated,https://www.wendelgroup.com/wp-content/uploads/2024/03/wen-2023-urd-fr-v-mel-240327.pdf,2026-05-27,57.0,,descargado,no encontrado automáticamente
E033,Wendel,WEND,France,2024,integrated,https://www.wendelgroup.com/wp-content/uploads/2025/03/wen-2024-urd-fr-28032025.pdf,2026-05-27,99.0,,descargado,no encontrado automáticamente
E034,3i,III,United Kingdom,2022,,,,222.0,,descargado,reconciliado
E034,3i,III,United Kingdom,2023,,,,238.0,,descargado,reconciliado
E034,3i,III,United Kingdom,2024,,,,226.0,,descargado,reconciliado
E035,Exor,EXO,Netherlands,2022,integrated,https://www.exor.com/sites/default/files/2023/document-documents/EXOR_Annual%20Report%202022.pdf,2026-05-27,164.0,,descargado,no encontrado automáticamente
E035,Exor,EXO,Netherlands,2023,integrated,https://exor.com/sites/default/files/2024/document-documents/EXOR%202023%20Annual%20Report.pdf,2026-05-27,263.0,,descargado,no encontrado automáticamente
E035,Exor,EXO,Netherlands,2024,integrated,https://www.exor.com/system/files/2025/document-documents/EXOR%202024%20Annual%20Report.pdf,2026-05-27,108.0,,descargado,no encontrado automáticamente
E036,Glanbia,GLB,Ireland,2022,integrated,https://www.glanbia.com/sites/glanbia-plc/files/glanbia/glanbia-annual-report-2022.pdf,2026-05-27,135.0,,descargado,no encontrado automáticamente
E036,Glanbia,GLB,Ireland,2023,integrated,https://www.glanbia.com/sites/glanbia-plc/files/glanbia/investors/annual-report/2024/annual-report-2023.pdf,2026-05-27,104.0,,descargado,no encontrado automáticamente
E036,Glanbia,GLB,Ireland,2024,integrated,https://www.glanbia.com/sites/glanbia-plc/files/glanbia/investors/annual-report/2025/annual-report-2024.pdf,2026-05-27,109.0,,descargado,no encontrado automáticamente
E037,Pernod Ricard,PERP,France,2022,integrated,https://www.pernod-ricard.com/sites/default/files/inline-files/RAPR021_GB_WEB_2.pdf,2026-05-27,202.0,,descargado,Pernod Ricard URD EN reemplazado
E037,Pernod Ricard,PERP,France,2023,integrated,https://www.pernod-ricard.com/sites/default/files/2023-11/Pernod_Ricard_Rapport_Annuel_202223.pdf,2026-05-27,221.0,,descargado,no encontrado automáticamente
E037,Pernod Ricard,PERP,France,2024,integrated,https://www.pernod-ricard.com/sites/default/files/2024-11/Pernod_AR24_ENGLISH.pdf,2026-05-27,283.0,,descargado,Pernod Ricard URD EN reemplazado
E038,Davide Campari-Milano,CPR,Italy,2022,integrated,https://www.camparigroup.com/sites/default/files/downloads/01.1%20Campari%20Group_Annual%20Report%20for%20the%20year%20ended%2031%20December%202022.pdf,2026-05-27,45.0,,descargado,no encontrado automáticamente
E038,Davide Campari-Milano,CPR,Italy,2023,integrated,https://www.camparigroup.com/sites/default/files/downloads/01.1%20Campari%20Group_Annual%20Report%20for%20the%20year%20ended%2031%20December%202023.pdf,2026-05-27,44.0,,descargado,no encontrado automáticamente
E038,Davide Campari-Milano,CPR,Italy,2024,integrated,https://www.camparigroup.com/sites/default/files/downloads/01.1%20Campari%20Group_Annual%20Report%20for%20the%20year%20ended%2031%20December%202024.pdf,2026-05-27,54.0,,descargado,no encontrado automáticamente
E039,Novo Nordisk,NOVO B,Denmark,2022,integrated,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2023/novo-nordisk-annual-report-2022.pdf,2026-05-26,112.0,,descargado,
E039,Novo Nordisk,NOVO B,Denmark,2023,integrated,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2024/novo-nordisk-annual-report-2023.pdf,2026-05-26,119.0,,descargado,
