ticker_wiki,nombre,sector_icb,pais,sede
HEN3,Henkel,Consumer Products and Services,Germany,Düsseldorf
HIK,Hikma Pharmaceuticals,Health Care,United Kingdom,London
HSX,Hiscox,Insurance,Bermuda,Hamilton
HWDN,Howden Joinery,Retail,United Kingdom,London
HSBA,HSBC,Banks,United Kingdom,London
BOSS,Hugo Boss,Consumer Products and Services,Germany,Metzingen
HUSQ B,Husqvarna,Consumer Products and Services,Sweden,Stockholm
IBE,Iberdrola,Utilities,Spain,Bilbao
INCH,Inchcape,Retail,United Kingdom,London
INDT,Indutrade,Industrial Goods and Services,Sweden,Kista
IFX,Infineon Technologies,Technology,Germany,Neubiberg
INPST,InPost,Industrial Goods and Services,Luxembourg,Luxembourg City
IHG,InterContinental Hotels Group,Travel and Leisure,United Kingdom,Windsor
ICP,Intermediate Capital Group,Financial Services,United Kingdom,London
ITRK,Intertek,Industrial Goods and Services,United Kingdom,London
IPN,Ipsen,Health Care,France,Boulogne-Billancourt
ITV,ITV,Media,United Kingdom,London
SBRY,Sainsbury's,"Personal Care, Drug and Grocery Stores",United Kingdom,London
JD,JD Sports,Retail,United Kingdom,Bury
JMT,Jerónimo Martins,Retail,Portugal,Lisbon
JMAT,Johnson Matthey,Chemicals,United Kingdom,London
BAER,Julius Baer,Banks,Switzerland,Zurich
KBC,KBC Group,Banks,Belgium,Brussels
KER,Kering,Consumer Products and Services,France,Paris
KNEBV,Kone,Industrial Goods and Services,Finland,Espoo
KPN,KPN,Telecommunications,Netherlands,Rotterdam
LAND,Land Securities,Real Estate,United Kingdom,London
LXS,Lanxess,Chemicals,Germany,Essen
LEG,LEG Immobilien,Real Estate,Germany,Düsseldorf
LDO,Leonardo,Industrial Goods and Services,Italy,Rome
LSG,Lerøy Seafood,"Food, Beverage and Tobacco",Norway,Bergen
LII,Liberty Global,Telecommunications,United Kingdom,London
LIF,LifeCo,Insurance,Ireland,Dublin
LIN,Linde plc,Chemicals,United Kingdom,Guildford
OR,L'Oréal,"Personal Care, Drug and Grocery Stores",France,Clichy
LPP,LPP,Consumer Products and Services,Poland,Gdańsk
LHA,Lufthansa,Travel and Leisure,Germany,Cologne
LUMI,Lumibird,Technology,France,Lannion
MC,LVMH,Consumer Products and Services,France,Paris
MAERSK B,Maersk,Industrial Goods and Services,Denmark,Copenhagen
MAN,MAN SE,Industrial Goods and Services,Germany,Munich
MGG,M&G,Financial Services,United Kingdom,London
MB,Mediobanca,Financial Services,Italy,Milan
MELE,Melexis,Technology,Belgium,Ypres
MEL,Meliá Hotels,Travel and Leisure,Spain,Palma
MRL,Merlin Properties,Real Estate,Spain,Madrid
METSO,Metso,Industrial Goods and Services,Finland,Helsinki
TIGO,Millicom,Telecommunications,Sweden,Luxembourg City
MCG,Mobico Group,Travel and Leisure,United Kingdom,Birmingham
MONC,Moncler,Consumer Products and Services,Italy,Milan
MNDI,Mondi,Industrial Goods and Services,United Kingdom,Weybridge
MOR,MorphoSys,Health Care,Germany,Planegg
MUV2,Munich Re,Insurance,Germany,Munich
MT,ArcelorMittal,Basic Resources,Luxembourg,Luxembourg City
MTX,MTU Aero Engines,Industrial Goods and Services,Germany,Munich
NAB,National Bank of Greece,Banks,Greece,Athens
NWG,NatWest Group,Banks,United Kingdom,Edinburgh
NTGY,Naturgy,Utilities,Spain,Madrid
NEM,Nemetschek,Technology,Germany,Munich
NEOEN,Neoen,Utilities,France,Paris
NSN,Neste,Energy,Finland,Espoo
NESN,Nestlé,"Food, Beverage and Tobacco",Switzerland,Vevey
NEX,Nexans,Industrial Goods and Services,France,Courbevoie
NEXI,Nexi,Industrial Goods and Services,Italy,Milan
NIBE B,Nibe Industrier,Construction and Materials,Sweden,Markaryd
NN,NN Group,Insurance,Netherlands,The Hague
NOKIA,Nokia,Technology,Finland,Espoo
NDA FI,Nordea,Banks,Finland,Helsinki
NHY,Norsk Hydro,Basic Resources,Norway,Oslo
NOV N,Novartis,Health Care,Switzerland,Basel
NOVO B,Novo Nordisk,Health Care,Denmark,Bagsværd
OCDO,Ocado,Retail,United Kingdom,Hatfield
OCI,OCI,Chemicals,Netherlands,Amsterdam
OERL,Oerlikon,Industrial Goods and Services,Switzerland,Pfäffikon
OMV,OMV,Energy,Austria,Vienna
ONT,Ontex,"Personal Care, Drug and Grocery Stores",Belgium,Aalst
ORA,Orange S.A.,Telecommunications,France,Issy-les-Moulineaux
ORK,Orkla ASA,"Food, Beverage and Tobacco",Norway,Oslo
ORSTED,Ørsted,Utilities,Denmark,Fredericia
PANDORA,Pandora,Consumer Products and Services,Denmark,Copenhagen
PBB,Deutsche Pfandbriefbank,Banks,Germany,Garching
P911,Porsche,Automobiles and Parts,Germany,Stuttgart
PNL,PostNL,Industrial Goods and Services,Netherlands,The Hague
PRY,Prysmian,Industrial Goods and Services,Italy,Milan
