doc_id,empresa,año,confianza,n_frases,lm_negative,lm_positive,lm_uncertainty,lm_litigious,lm_strong_modal,lm_weak_modal,lm_constraining,pct_climate,finbert_pct_positive,finbert_pct_negative,finbert_pct_neutral,finbert_tone,climate_sentiment_neutral,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_no,climate_commitment_yes,climate_specificity_non,climate_specificity_spec,esg9_business_ethics_and_values,esg9_climate_change,esg9_community_relations,esg9_corporate_governance,esg9_human_capital,esg9_natural_capital,esg9_non-esg,esg9_pollution_and_waste,esg9_product_liability
E057_COLR_2022,Colruyt,2022,densidad,475,0.006468982,0.012910232,0.002869235,0.0015448862,0.0052121845,0.0011518956,0.0024546091,0.5578947368421052,0.2336842105263158,0.023157894736842106,0.7431578947368421,0.2105263157894737,0.5773584905660377,0.4075471698113208,0.01509433962264151,0.4226415094339623,0.5773584905660377,0.4377358490566038,0.5622641509433962,0.010526315789473684,0.24,0.13473684210526315,0.029473684210526315,0.17894736842105263,0.17684210526315788,0.07578947368421053,0.09473684210526316,0.05894736842105263
E057_COLR_2023,Colruyt,2023,densidad,490,0.0069788923,0.014038673,0.004852534,0.0012444993,0.0028081576,0.00202287,0.0021256218,0.6061224489795919,0.24693877551020407,0.04693877551020408,0.7061224489795919,0.19999999999999998,0.5488215488215489,0.4074074074074074,0.04377104377104377,0.4006734006734007,0.5993265993265994,0.4276094276094276,0.5723905723905723,0.00816326530612245,0.24489795918367346,0.11224489795918367,0.026530612244897958,0.1816326530612245,0.20612244897959184,0.04081632653061224,0.11020408163265306,0.06938775510204082
E057_COLR_2024,Colruyt,2024,densidad,876,0.007767551,0.012323453,0.0045260536,0.0017197392,0.0035409795,0.0011982766,0.002812557,0.5753424657534246,0.19863013698630136,0.0319634703196347,0.769406392694064,0.16666666666666666,0.6448412698412699,0.32341269841269843,0.031746031746031744,0.5317460317460317,0.46825396825396826,0.5178571428571429,0.48214285714285715,0.0228310502283105,0.2374429223744292,0.10388127853881278,0.05251141552511415,0.158675799086758,0.1598173515981735,0.09817351598173515,0.09360730593607305,0.0730593607305936
E058_SGRO_2022,Segro,2022,densidad,222,0.0066295383,0.01922645,0.019529514,0.0037553709,0.0014113747,0.0013984573,0.0040292707,0.6801801801801802,0.24324324324324326,0.02252252252252252,0.7342342342342343,0.22072072072072074,0.5960264900662252,0.16556291390728478,0.23841059602649006,0.7350993377483444,0.26490066225165565,0.609271523178808,0.39072847682119205,0.036036036036036036,0.5315315315315315,0.013513513513513514,0.1981981981981982,0.02702702702702703,0.036036036036036036,0.13063063063063063,0.0045045045045045045,0.02252252252252252
E058_SGRO_2023,Segro,2023,densidad,185,0.006178191,0.017876476,0.021202277,0.004194164,0.0016621157,0.0010852596,0.006525443,0.7567567567567568,0.21081081081081082,0.032432432432432434,0.7567567567567568,0.1783783783783784,0.5857142857142857,0.17142857142857143,0.24285714285714285,0.7571428571428571,0.24285714285714285,0.6285714285714286,0.37142857142857144,0.016216216216216217,0.6,0.0,0.15675675675675677,0.02702702702702703,0.03783783783783784,0.14054054054054055,0.0,0.021621621621621623
E058_SGRO_2024,Segro,2024,densidad,327,0.019032566,0.013464098,0.019828543,0.00829448,0.0023318257,0.0032309769,0.008162082,0.45871559633027525,0.2018348623853211,0.11926605504587157,0.6788990825688074,0.08256880733944955,0.6133333333333333,0.1,0.2866666666666667,0.7733333333333333,0.22666666666666666,0.72,0.28,0.039755351681957186,0.345565749235474,0.012232415902140673,0.1834862385321101,0.13761467889908258,0.027522935779816515,0.22629969418960244,0.0030581039755351682,0.024464831804281346
E059_MRL_2022,Merlin Properties,2022,densidad,249,0.0055399253,0.008911711,0.002300696,0.001517268,0.0021906924,0.00030892802,0.0045823846,0.8473895582329317,0.1686746987951807,0.012048192771084338,0.8192771084337349,0.15662650602409636,0.8199052132701422,0.15165876777251186,0.02843601895734597,0.6872037914691943,0.3127962085308057,0.43601895734597157,0.5639810426540285,0.01606425702811245,0.5903614457831325,0.020080321285140562,0.05622489959839357,0.020080321285140562,0.05220883534136546,0.12449799196787148,0.11646586345381527,0.004016064257028112
E059_MRL_2023,Merlin Properties,2023,densidad,234,0.006122264,0.0080039725,0.0018767408,0.0019428993,0.0015150128,0.0003287311,0.004114902,0.8846153846153846,0.14102564102564102,0.02564102564102564,0.8333333333333334,0.11538461538461539,0.8309178743961353,0.13043478260869565,0.03864734299516908,0.714975845410628,0.28502415458937197,0.43478260869565216,0.5652173913043478,0.01282051282051282,0.6239316239316239,0.01282051282051282,0.05555555555555555,0.021367521367521368,0.05128205128205128,0.07692307692307693,0.13247863247863248,0.01282051282051282
E059_MRL_2024,Merlin Properties,2024,densidad,231,0.005714942,0.008130235,0.0015833316,0.0022626154,0.0012752283,0.00033300035,0.0044428403,0.8441558441558441,0.12987012987012986,0.025974025974025976,0.8441558441558441,0.10389610389610388,0.8564102564102564,0.10256410256410256,0.041025641025641026,0.7692307692307693,0.23076923076923078,0.4564102564102564,0.5435897435897435,0.008658008658008658,0.5930735930735931,0.021645021645021644,0.05627705627705628,0.021645021645021644,0.06060606060606061,0.08658008658008658,0.1471861471861472,0.004329004329004329
E060_GFC_2022,Gecina,2022,densidad,481,0.006174454,0.018471638,0.007293651,0.0051686596,0.0021283801,0.001744325,0.004108046,0.4074844074844075,0.20374220374220375,0.010395010395010396,0.7858627858627859,0.19334719334719336,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.6479591836734694,0.3520408163265306,0.7908163265306123,0.20918367346938777,0.02702702702702703,0.22661122661122662,0.10395010395010396,0.25363825363825365,0.2286902286902287,0.029106029106029108,0.062370062370062374,0.014553014553014554,0.05405405405405406
E060_GFC_2023,Gecina,2023,alta,877,0.005570597,0.006048141,0.008318721,0.005504985,0.0048078946,0.0023298324,0.0042833337,0.18928164196123148,0.07753705815279362,0.02508551881413911,0.8973774230330672,0.052451539338654506,0.7650602409638554,0.07228915662650602,0.16265060240963855,0.8855421686746988,0.1144578313253012,0.7530120481927711,0.2469879518072289,0.036488027366020526,0.09806157354618016,0.036488027366020526,0.6944127708095781,0.036488027366020526,0.011402508551881414,0.07525655644241733,0.005701254275940707,0.005701254275940707
E060_GFC_2024,Gecina,2024,densidad,762,0.008414317,0.018052233,0.006542499,0.0036561827,0.0029238844,0.0013976375,0.0047985218,0.5997375328083989,0.26115485564304464,0.049868766404199474,0.6889763779527559,0.21128608923884518,0.6192560175054704,0.2713347921225383,0.10940919037199125,0.6542669584245077,0.34573304157549234,0.5382932166301969,0.4617067833698031,0.007874015748031496,0.39501312335958005,0.06299212598425197,0.10761154855643044,0.21391076115485563,0.05249343832020997,0.06299212598425197,0.05774278215223097,0.03937007874015748
