id,empresa,año,confianza,E1,E2,E3,E4,E5,S1,S2,S3,S4,G1,ESRS2
E048_CS_2023,AXA,2023,alta,0.7381,0.1333,0.1724,0.5714,0.3448,0.8636,0.3333,0.24,0.5385,0.4857,0.6061
E048_CS_2024,AXA,2024,alta,0.8571,0.2333,0.2759,0.6,0.3793,0.8409,0.4667,0.4,0.5769,0.4857,0.697
E049_TLX_2022,Talanx,2022,densidad,0.4524,0.0,0.1034,0.0286,0.069,0.1591,0.0667,0.12,0.1154,0.1714,0.4848
E049_TLX_2023,Talanx,2023,densidad,0.4286,0.0667,0.1034,0.1143,0.2069,0.3409,0.3,0.12,0.3077,0.3143,0.4848
E049_TLX_2024,Talanx,2024,alta,0.7143,0.1,0.1724,0.2286,0.3448,0.6818,0.3333,0.28,0.5,0.5143,0.6667
E050_AV_2022,Aviva,2022,densidad,0.5238,0.0333,0.0345,0.2286,0.069,0.4318,0.2333,0.12,0.1538,0.3429,0.303
E050_AV_2023,Aviva,2023,densidad,0.5714,0.0333,0.0345,0.2571,0.069,0.4318,0.2667,0.16,0.1923,0.3714,0.3939
E050_AV_2024,Aviva,2024,alta,0.5238,0.0333,0.0345,0.2,0.1379,0.2955,0.2667,0.12,0.1154,0.3143,0.3636
E051_TRYG_2022,Tryg,2022,densidad,0.1905,0.0,0.0345,0.0286,0.1379,0.1136,0.0667,0.0,0.0385,0.0,0.1515
E051_TRYG_2023,Tryg,2023,densidad,0.5476,0.0333,0.069,0.0857,0.3793,0.5909,0.2333,0.2,0.3077,0.4857,0.5152
E051_TRYG_2024,Tryg,2024,densidad,0.619,0.1,0.1379,0.0857,0.6207,0.6136,0.2,0.12,0.1538,0.4571,0.6364
E052_ZURN_2022,Zurich Insurance Group,2022,alta,0.7857,0.0667,0.1724,0.2857,0.1379,0.4773,0.2667,0.24,0.4231,0.4857,0.4848
E052_ZURN_2023,Zurich Insurance Group,2023,alta,0.7857,0.1333,0.1379,0.3143,0.2414,0.6818,0.3,0.32,0.4231,0.4,0.6061
E052_ZURN_2024,Zurich Insurance Group,2024,alta,0.8095,0.1667,0.1724,0.2,0.3448,0.7273,0.3667,0.4,0.5385,0.3714,0.5758
E053_VPLAY B_2022,Viaplay,2022,densidad,0.5,0.1,0.069,0.0857,0.2069,0.6364,0.2667,0.12,0.3846,0.4857,0.3939
E053_VPLAY B_2023,Viaplay,2023,alta,0.6667,0.1,0.069,0.0857,0.2069,0.6818,0.2667,0.16,0.3077,0.5143,0.6061
E053_VPLAY B_2024,Viaplay,2024,alta,0.619,0.0667,0.069,0.0857,0.1724,0.7955,0.4,0.12,0.4231,0.4,0.5758
E054_ONT_2022,Ontex,2022,densidad,0.6667,0.2333,0.2759,0.1429,0.3793,0.5227,0.2333,0.16,0.1154,0.3143,0.2121
E054_ONT_2023,Ontex,2023,alta,0.7857,0.3333,0.3448,0.2857,0.5862,0.6591,0.6333,0.24,0.2692,0.5429,0.6061
E054_ONT_2024,Ontex,2024,alta,0.6905,0.2,0.2414,0.1143,0.6552,0.7727,0.7,0.28,0.5769,0.5714,0.6364
E055_ULVR_2022,Unilever,2022,alta,0.4524,0.1333,0.2069,0.1714,0.3793,0.5227,0.1667,0.2,0.1923,0.5429,0.3636
E055_ULVR_2023,Unilever,2023,media,0.2619,0.0667,0.1724,0.1429,0.2759,0.1591,0.0667,0.12,0.0385,0.1429,0.1212
E055_ULVR_2024,Unilever,2024,alta,0.4286,0.1,0.1034,0.2,0.3793,0.2955,0.1,0.16,0.2308,0.2857,0.3636
E056_DIA_2023,Dia,2023,densidad,0.3333,0.0333,0.1379,0.1143,0.4138,0.3409,0.1667,0.16,0.1154,0.4286,0.2727
E056_DIA_2024,Dia,2024,densidad_baja,0.0238,0.1,0.0345,0.0,0.0345,0.3182,0.0,0.0,0.0,0.0571,0.0606
E057_COLR_2022,Colruyt,2022,densidad,0.4048,0.1,0.3448,0.2286,0.4483,0.3864,0.2667,0.12,0.0769,0.0857,0.1515
E057_COLR_2023,Colruyt,2023,densidad,0.4286,0.1,0.3103,0.2571,0.4138,0.4091,0.2,0.16,0.0769,0.0857,0.1818
E057_COLR_2024,Colruyt,2024,densidad,0.619,0.1,0.4138,0.2857,0.4138,0.5227,0.2333,0.2,0.1154,0.2286,0.3636
E058_SGRO_2022,Segro,2022,densidad,0.5476,0.0,0.0345,0.0571,0.1724,0.2273,0.1333,0.12,0.0385,0.3143,0.3333
E058_SGRO_2023,Segro,2023,densidad,0.5714,0.0,0.0345,0.0571,0.1724,0.2045,0.1667,0.08,0.0385,0.2,0.3636
E058_SGRO_2024,Segro,2024,densidad,0.619,0.0,0.069,0.0571,0.1034,0.3409,0.2,0.08,0.0769,0.2571,0.3939
E059_MRL_2022,Merlin Properties,2022,densidad,0.4762,0.1,0.1379,0.1143,0.2759,0.1591,0.1,0.0,0.1154,0.0857,0.2121
E059_MRL_2023,Merlin Properties,2023,densidad,0.381,0.1,0.1034,0.1143,0.3793,0.1591,0.1,0.0,0.1154,0.0857,0.1818
E059_MRL_2024,Merlin Properties,2024,densidad,0.381,0.1,0.1379,0.1143,0.3793,0.1591,0.1,0.0,0.1154,0.0857,0.1818
E060_GFC_2022,Gecina,2022,densidad,0.4524,0.0667,0.1724,0.1429,0.3103,0.5,0.1,0.12,0.1154,0.1429,0.303
E060_GFC_2023,Gecina,2023,alta,0.4524,0.0,0.2069,0.0571,0.1724,0.2727,0.1,0.04,0.1538,0.3714,0.2727
E060_GFC_2024,Gecina,2024,densidad,0.5238,0.1,0.2414,0.1714,0.4138,0.3409,0.1,0.0,0.1538,0.1143,0.2727
E061_CAST_2022,Castellum,2022,densidad,0.5952,0.0333,0.4483,0.2,0.3793,0.5909,0.2667,0.2,0.0769,0.3143,0.4848
E061_CAST_2023,Castellum,2023,densidad,0.6667,0.1,0.4138,0.2286,0.3793,0.5909,0.2333,0.2,0.1154,0.3143,0.5758
E061_CAST_2024,Castellum,2024,densidad,0.6667,0.1,0.4138,0.2571,0.4828,0.6818,0.3,0.28,0.3846,0.4,0.6061
E062_DHER_2022,Delivery Hero,2022,densidad,0.0238,0.0,0.0345,0.0,0.0345,0.0227,0.0,0.0,0.0,0.0,0.0303
E062_DHER_2023,Delivery Hero,2023,densidad,0.3333,0.0333,0.069,0.0286,0.2759,0.5909,0.2,0.08,0.3462,0.4857,0.4242
E062_DHER_2024,Delivery Hero,2024,densidad,0.4762,0.2333,0.069,0.0286,0.3793,0.6591,0.3,0.16,0.3846,0.4571,0.6667
E063_TPK_2022,Travis Perkins,2022,densidad,0.3095,0.0333,0.069,0.0571,0.3103,0.2955,0.1667,0.08,0.1538,0.1143,0.2727
E063_TPK_2023,Travis Perkins,2023,densidad,0.381,0.0333,0.069,0.0571,0.1724,0.3636,0.2,0.08,0.1538,0.2,0.2424
E063_TPK_2024,Travis Perkins,2024,densidad,0.6429,0.0333,0.1034,0.0857,0.3103,0.2045,0.1333,0.08,0.0769,0.0286,0.3333
E064_HMB_2022,H&M,2022,alta,0.3333,0.1667,0.3448,0.2286,0.3448,0.4318,0.4333,0.44,0.1538,0.2571,0.3636
E064_HMB_2023,H&M,2023,densidad,0.619,0.2,0.3103,0.1714,0.3793,0.4545,0.3333,0.4,0.2692,0.3714,0.5455
E064_HMB_2024,H&M,2024,alta,0.7143,0.2667,0.6552,0.3143,0.5862,0.7273,0.4667,0.4,0.4231,0.3714,0.6364
E065_MKS_2022,Marks & Spencer,2022,densidad,0.5714,0.0,0.0,0.0571,0.2069,0.1818,0.0667,0.08,0.0769,0.1143,0.2121
E065_MKS_2023,Marks & Spencer,2023,densidad,0.5952,0.0,0.0345,0.0857,0.2414,0.2273,0.1667,0.16,0.2308,0.2571,0.3333
E065_MKS_2024,Marks & Spencer,2024,densidad,0.5952,0.0333,0.0345,0.1143,0.3448,0.1364,0.1667,0.16,0.2692,0.2857,0.303
E066_JD_2022,JD Sports,2022,densidad,0.4524,0.0667,0.2069,0.0857,0.4828,0.2273,0.2667,0.04,0.1154,0.0571,0.2121
E066_JD_2023,JD Sports,2023,densidad,0.5476,0.1333,0.1379,0.1429,0.6207,0.3409,0.3,0.12,0.1154,0.0857,0.3636
E066_JD_2024,JD Sports,2024,densidad,0.5714,0.1,0.2414,0.2,0.4828,0.2955,0.2,0.12,0.1154,0.0571,0.2424
E067_MELE_2022,Melexis,2022,alta,0.3333,0.2333,0.2414,0.0857,0.3103,0.6136,0.2667,0.2,0.3462,0.4286,0.1818
E067_MELE_2023,Melexis,2023,alta,0.4286,0.2333,0.1379,0.0857,0.3103,0.5909,0.4,0.16,0.4231,0.4286,0.3939
E067_MELE_2024,Melexis,2024,alta,0.6667,0.4667,0.2414,0.1714,0.5862,0.7045,0.7,0.28,0.4231,0.5429,0.5455
E068_SGE_2022,Sage Group,2022,alta,0.5952,0.0333,0.1034,0.0571,0.2069,0.5,0.2,0.24,0.3077,0.4571,0.4242
